FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",33,105,2344,453,8,2943,0.8,2.3,3.7,3.7,0.7,3.5
29,"CD102, Manhattan",40,164,3232,609,8,4053,1.0,3.6,5.1,5.0,0.7,4.8
30,"CD103, Manhattan",48,71,1758,332,17,2226,1.2,1.5,2.8,2.7,1.5,2.6
21,"CD104, Manhattan",83,84,2211,578,24,2980,2.1,1.8,3.5,4.8,2.1,3.5
13,"CD105, Manhattan",48,189,7280,937,24,8478,1.2,4.1,11.5,7.7,2.1,9.9
31,"CD106, Manhattan",27,68,2687,420,3,3205,0.7,1.5,4.2,3.5,0.3,3.8
20,"CD107, Manhattan",24,102,3053,538,8,3725,0.6,2.2,4.8,4.4,0.7,4.4
42,"CD108, Manhattan",28,121,3648,726,18,4541,0.7,2.6,5.7,6.0,1.6,5.3
60,"CD109, Manhattan",10,40,941,166,2,1159,0.3,0.9,1.5,1.4,0.2,1.4
70,"CD110, Manhattan",18,59,845,227,11,1160,0.5,1.3,1.3,1.9,1.0,1.4
48,"CD111, Manhattan",24,43,824,278,10,1179,0.6,0.9,1.3,2.3,0.9,1.4
71,"CD112, Manhattan",10,37,1135,222,0,1404,0.3,0.8,1.8,1.8,0.0,1.6
18,"CD164, Manhattan",0,0,11,1,0,12,0.0,0.0,0.0,0.0,0.0,0.0
41,"CD201, Bronx",40,27,448,149,4,668,1.0,0.6,0.7,1.2,0.4,0.8
44,"CD202, Bronx",16,13,229,49,1,308,0.4,0.3,0.4,0.4,0.1,0.4
53,"CD203, Bronx",25,16,208,87,8,344,0.6,0.3,0.3,0.7,0.7,0.4
32,"CD204, Bronx",34,20,420,147,10,631,0.9,0.4,0.7,1.2,0.9,0.7
62,"CD205, Bronx",12,16,354,95,9,486,0.3,0.3,0.6,0.8,0.8,0.6
63,"CD206, Bronx",33,13,401,102,13,562,0.8,0.3,0.6,0.8,1.2,0.7
36,"CD207, Bronx",24,13,432,131,11,611,0.6,0.3,0.7,1.1,1.0,0.7
24,"CD208, Bronx",18,32,332,98,8,488,0.5,0.7,0.5,0.8,0.7,0.6
45,"CD209, Bronx",28,14,456,116,6,620,0.7,0.3,0.7,1.0,0.5,0.7
59,"CD210, Bronx",43,30,348,65,8,494,1.1,0.6,0.5,0.5,0.7,0.6
50,"CD211, Bronx",16,30,314,79,4,443,0.4,0.6,0.5,0.7,0.4,0.5
58,"CD212, Bronx",47,38,451,65,9,610,1.2,0.8,0.7,0.5,0.8,0.7
33,"CD226, Bronx",0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,3,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0
