FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",15,48,1223,123,5,1414,0.7,2.1,4.2,4.1,1.0,3.8
29,"CD102, Manhattan",14,90,1443,135,0,1682,0.7,4.0,5.0,4.5,0.0,4.6
30,"CD103, Manhattan",27,31,803,88,2,951,1.3,1.4,2.8,2.9,0.4,2.6
21,"CD104, Manhattan",31,39,1122,157,11,1360,1.5,1.7,3.9,5.2,2.3,3.7
13,"CD105, Manhattan",24,75,3434,226,15,3774,1.2,3.3,11.8,7.6,3.1,10.2
31,"CD106, Manhattan",7,33,1311,107,2,1460,0.3,1.5,4.5,3.6,0.4,4.0
20,"CD107, Manhattan",8,47,1425,136,2,1618,0.4,2.1,4.9,4.5,0.4,4.4
42,"CD108, Manhattan",20,44,1672,174,2,1912,1.0,1.9,5.8,5.8,0.4,5.2
60,"CD109, Manhattan",2,15,364,45,2,428,0.1,0.7,1.3,1.5,0.4,1.2
70,"CD110, Manhattan",8,43,346,54,0,451,0.4,1.9,1.2,1.8,0.0,1.2
48,"CD111, Manhattan",16,10,390,48,2,466,0.8,0.4,1.3,1.6,0.4,1.3
71,"CD112, Manhattan",2,9,497,41,0,549,0.1,0.4,1.7,1.4,0.0,1.5
18,"CD164, Manhattan",0,0,5,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
41,"CD201, Bronx",14,15,223,46,1,299,0.7,0.7,0.8,1.5,0.2,0.8
44,"CD202, Bronx",14,10,103,7,0,134,0.7,0.4,0.4,0.2,0.0,0.4
53,"CD203, Bronx",10,7,110,27,7,161,0.5,0.3,0.4,0.9,1.5,0.4
32,"CD204, Bronx",18,16,213,28,4,279,0.9,0.7,0.7,0.9,0.8,0.8
62,"CD205, Bronx",7,6,137,21,17,188,0.3,0.3,0.5,0.7,3.5,0.5
63,"CD206, Bronx",13,10,124,31,8,186,0.6,0.4,0.4,1.0,1.7,0.5
36,"CD207, Bronx",16,7,153,25,3,204,0.8,0.3,0.5,0.8,0.6,0.6
24,"CD208, Bronx",8,7,195,21,0,231,0.4,0.3,0.7,0.7,0.0,0.6
45,"CD209, Bronx",18,13,212,41,3,287,0.9,0.6,0.7,1.4,0.6,0.8
59,"CD210, Bronx",19,18,141,21,1,200,0.9,0.8,0.5,0.7,0.2,0.5
50,"CD211, Bronx",5,16,124,13,3,161,0.2,0.7,0.4,0.4,0.6,0.4
58,"CD212, Bronx",48,21,173,10,2,254,2.3,0.9,0.6,0.3,0.4,0.7
33,"CD226, Bronx",0,0,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,4,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
2,"CD301, Brooklyn",115,113,675,105,22,1030,5.6,5.0,2.3,3.5,4.6,2.8
6,"CD302, Brooklyn",42,58,733,114,9,956,2.0,2.6,2.5,3.8,1.9,2.6
14,"CD303, Brooklyn",80,97,482,74,27,760,3.9,4.3,1.7,2.5,5.6,2.1
22,"CD304, Brooklyn",66,47,331,30,14,488,3.2,2.1,1.1,1.0,2.9,1.3
64,"CD305, Brooklyn",16,12,259,45,3,335,0.8,0.5,0.9,1.5,0.6,0.9
54,"CD306, Brooklyn",43,97,640,77,3,860,2.1,4.3,2.2,2.6,0.6,2.3
9,"CD307, Brooklyn",22,61,484,55,9,631,1.1,2.7,1.7,1.8,1.9,1.7
55,"CD308, Brooklyn",26,61,297,27,6,417,1.3,2.7,1.0,0.9,1.3,1.1
16,"CD309, Brooklyn",30,23,226,16,12,307,1.5,1.0,0.8,0.5,2.5,0.8
10,"CD310, Brooklyn",11,24,366,27,3,431,0.5,1.1,1.3,0.9,0.6,1.2
1,"CD311, Brooklyn",24,32,378,12,13,459,1.2,1.4,1.3,0.4,2.7,1.2
11,"CD312, Brooklyn",68,87,348,34,15,552,3.3,3.9,1.2,1.1,3.1,1.5
7,"CD313, Brooklyn",19,28,310,34,4,395,0.9,1.2,1.1,1.1,0.8,1.1
5,"CD314, Brooklyn",16,31,300,35,2,384,0.8,1.4,1.0,1.2,0.4,1.0
8,"CD315, Brooklyn",76,46,351,33,24,530,3.7,2.0,1.2,1.1,5.0,1.4
15,"CD316, Brooklyn",11,20,157,24,1,213,0.5,0.9,0.5,0.8,0.2,0.6
17,"CD317, Brooklyn",28,19,236,19,9,311,1.4,0.8,0.8,0.6,1.9,0.8
39,"CD318, Brooklyn",9,23,334,25,0,391,0.4,1.0,1.1,0.8,0.0,1.1
56,"CD355, Brooklyn",0,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CD401, Queens",60,50,445,74,23,652,2.9,2.2,1.5,2.5,4.8,1.8
26,"CD402, Queens",78,31,388,113,4,614,3.8,1.4,1.3,3.8,0.8,1.7
68,"CD403, Queens",15,26,297,23,9,370,0.7,1.2,1.0,0.8,1.9,1.0
27,"CD404, Queens",71,25,305,17,5,423,3.5,1.1,1.0,0.6,1.0,1.1
28,"CD405, Queens",17,48,407,17,2,491,0.8,2.1,1.4,0.6,0.4,1.3
37,"CD406, Queens",9,20,250,21,4,304,0.4,0.9,0.9,0.7,0.8,0.8
49,"CD407, Queens",124,115,607,55,25,926,6.0,5.1,2.1,1.8,5.2,2.5
46,"CD408, Queens",23,74,238,11,2,348,1.1,3.3,0.8,0.4,0.4,0.9
65,"CD409, Queens",13,20,239,18,7,297,0.6,0.9,0.8,0.6,1.5,0.8
61,"CD410, Queens",31,38,351,17,5,442,1.5,1.7,1.2,0.6,1.0,1.2
47,"CD411, Queens",54,49,318,28,6,455,2.6,2.2,1.1,0.9,1.3,1.2
3,"CD412, Queens",42,62,442,47,5,598,2.0,2.7,1.5,1.6,1.0,1.6
66,"CD413, Queens",18,59,359,13,2,451,0.9,2.6,1.2,0.4,0.4,1.2
57,"CD414, Queens",88,42,616,57,33,836,4.3,1.9,2.1,1.9,6.9,2.3
69,"CD480, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,"CD481, Queens",0,0,6,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0
38,"CD482, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,"CD483, Queens",0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
23,"CD484, Queens",0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
25,"CD501, Staten Island",81,30,327,27,21,486,3.9,1.3,1.1,0.9,4.4,1.3
34,"CD502, Staten Island",128,38,338,18,19,541,6.2,1.7,1.2,0.6,4.0,1.5
35,"CD503, Staten Island",136,21,269,23,39,488,6.6,0.9,0.9,0.8,8.1,1.3
12,"CD595, Staten Island",0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
