FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",64,177,5308,526,9,5879,0.8,1.9,3.9,4.4,0.4,3.8
29,"CD102, Manhattan",68,347,6755,576,8,7205,0.8,3.8,5.0,4.8,0.4,4.7
30,"CD103, Manhattan",98,117,3539,322,9,3734,1.2,1.3,2.6,2.7,0.4,2.4
21,"CD104, Manhattan",126,186,5700,555,34,6181,1.6,2,4.2,4.7,1.6,4
13,"CD105, Manhattan",103,320,14886,948,27,15695,1.3,3.5,11.1,8.0,1.3,10.2
31,"CD106, Manhattan",49,124,5452,362,24,5699,0.6,1.4,4.1,3.0,1.1,3.7
20,"CD107, Manhattan",33,217,6375,503,10,6706,0.4,2.4,4.7,4.2,0.5,4.4
42,"CD108, Manhattan",71,199,7888,654,19,8169,0.9,2.2,5.9,5.5,0.9,5.3
60,"CD109, Manhattan",25,89,1831,182,4,1956,0.3,1,1.4,1.5,0.2,1.3
70,"CD110, Manhattan",59,166,1763,206,17,1960,0.7,1.8,1.3,1.7,0.8,1.3
48,"CD111, Manhattan",52,55,1708,211,15,1843,0.6,0.6,1.3,1.8,0.7,1.2
71,"CD112, Manhattan",12,52,2364,165,4,2356,0.1,0.6,1.8,1.4,0.2,1.5
18,"CD164, Manhattan",0,0,30,6,0,33,0,0,0.0,0.1,0,0
41,"CD201, Bronx",77,59,1005,146,16,1170,1,0.6,0.7,1.2,0.8,0.8
44,"CD202, Bronx",52,32,477,40,15,540,0.6,0.3,0.4,0.3,0.7,0.4
53,"CD203, Bronx",54,25,648,104,21,746,0.7,0.3,0.5,0.9,1,0.5
32,"CD204, Bronx",53,45,967,138,22,1070,0.7,0.5,0.7,1.2,1.1,0.7
62,"CD205, Bronx",47,29,815,123,29,885,0.6,0.3,0.6,1.0,1.4,0.6
63,"CD206, Bronx",63,36,724,127,22,869,0.8,0.4,0.5,1.1,1.1,0.6
36,"CD207, Bronx",60,23,886,129,28,973,0.7,0.3,0.7,1.1,1.3,0.6
24,"CD208, Bronx",52,41,981,104,21,1073,0.6,0.4,0.7,0.9,1,0.7
45,"CD209, Bronx",68,43,1138,179,15,1318,0.8,0.5,0.8,1.5,0.7,0.9
59,"CD210, Bronx",85,54,772,73,14,931,1.1,0.6,0.6,0.6,0.7,0.6
50,"CD211, Bronx",33,50,718,73,11,808,0.4,0.5,0.5,0.6,0.5,0.5
58,"CD212, Bronx",124,68,900,62,27,1102,1.5,0.7,0.7,0.5,1.3,0.7
33,"CD226, Bronx",0,0,3,0,0,3,0,0,0.0,0.0,0,0
51,"CD227, Bronx",0,0,0,2,0,2,0,0,0.0,0.0,0,0
52,"CD228, Bronx",0,0,0,2,0,2,0,0,0.0,0.0,0,0
2,"CD301, Brooklyn",414,418,3247,453,98,4149,5.1,4.6,2.4,3.8,4.7,2.7
6,"CD302, Brooklyn",156,294,3670,421,36,4241,1.9,3.2,2.7,3.5,1.7,2.8
14,"CD303, Brooklyn",353,382,2318,222,63,3005,4.4,4.2,1.7,1.9,3,2
22,"CD304, Brooklyn",224,176,1465,115,62,1815,2.8,1.9,1.1,1.0,3,1.2
64,"CD305, Brooklyn",153,63,1339,162,35,1606,1.9,0.7,1.0,1.4,1.7,1
54,"CD306, Brooklyn",140,362,3080,328,32,3572,1.7,3.9,2.3,2.8,1.5,2.3
9,"CD307, Brooklyn",99,249,2060,211,31,2448,1.2,2.7,1.5,1.8,1.5,1.6
55,"CD308, Brooklyn",84,198,1417,138,17,1700,1,2.2,1.1,1.2,0.8,1.1
16,"CD309, Brooklyn",93,102,1017,54,32,1163,1.2,1.1,0.8,0.5,1.5,0.8
10,"CD310, Brooklyn",49,114,1582,133,15,1787,0.6,1.2,1.2,1.1,0.7,1.2
1,"CD311, Brooklyn",98,129,1703,127,31,1988,1.2,1.4,1.3,1.1,1.5,1.3
11,"CD312, Brooklyn",273,377,1633,177,87,2300,3.4,4.1,1.2,1.5,4.2,1.5
7,"CD313, Brooklyn",81,69,1258,139,29,1443,1,0.8,0.9,1.2,1.4,0.9
5,"CD314, Brooklyn",78,114,1320,127,34,1542,1,1.2,1.0,1.1,1.6,1
8,"CD315, Brooklyn",215,224,1600,130,79,2091,2.7,2.4,1.2,1.1,3.8,1.4
15,"CD316, Brooklyn",78,60,792,66,7,894,1,0.7,0.6,0.6,0.3,0.6
17,"CD317, Brooklyn",124,113,1077,106,56,1314,1.5,1.2,0.8,0.9,2.7,0.9
39,"CD318, Brooklyn",44,101,1481,93,14,1611,0.5,1.1,1.1,0.8,0.7,1
56,"CD355, Brooklyn",0,1,24,17,0,40,0,0,0.0,0.1,0,0
40,"CD356, Brooklyn",0,0,0,0,0,0,0,0,0.0,0.0,0,0
43,"CD401, Queens",254,205,2279,289,102,2836,3.2,2.2,1.7,2.4,4.9,1.8
26,"CD402, Queens",186,126,1955,305,41,2440,2.3,1.4,1.5,2.6,2,1.6
68,"CD403, Queens",79,102,1220,98,36,1423,1,1.1,0.9,0.8,1.7,0.9
27,"CD404, Queens",158,112,1158,79,30,1449,2,1.2,0.9,0.7,1.4,0.9
28,"CD405, Queens",100,201,1684,104,26,1987,1.2,2.2,1.3,0.9,1.2,1.3
37,"CD406, Queens",31,77,1120,105,11,1234,0.4,0.8,0.8,0.9,0.5,0.8
49,"CD407, Queens",445,446,3003,222,148,3927,5.5,4.9,2.2,1.9,7.1,2.6
46,"CD408, Queens",99,240,1405,88,28,1744,1.2,2.6,1.0,0.7,1.3,1.1
65,"CD409, Queens",38,99,1192,97,16,1359,0.5,1.1,0.9,0.8,0.8,0.9
61,"CD410, Queens",118,150,1346,57,15,1603,1.5,1.6,1.0,0.5,0.7,1
47,"CD411, Queens",211,286,1536,71,47,2000,2.6,3.1,1.1,0.6,2.2,1.3
3,"CD412, Queens",207,230,2218,192,33,2708,2.6,2.5,1.6,1.6,1.6,1.8
66,"CD413, Queens",103,231,1697,59,30,2001,1.3,2.5,1.3,0.5,1.4,1.3
57,"CD414, Queens",408,176,2269,144,74,2933,5.1,1.9,1.7,1.2,3.5,1.9
69,"CD480, Queens",0,0,0,0,0,0,0,0,0.0,0.0,0,0
4,"CD481, Queens",1,0,46,18,0,65,0,0,0.0,0.2,0,0
38,"CD482, Queens",0,0,0,0,0,0,0,0,0.0,0.0,0,0
67,"CD483, Queens",0,0,0,0,0,0,0,0,0.0,0.0,0,0
23,"CD484, Queens",0,0,2,0,0,2,0,0,0.0,0.0,0,0
25,"CD501, Staten Island",341,118,1706,96,106,2166,4.2,1.3,1.3,0.8,5.1,1.4
34,"CD502, Staten Island",404,147,1661,66,79,2184,5,1.6,1.2,0.6,3.8,1.4
35,"CD503, Staten Island",576,129,1368,71,89,2045,7.2,1.4,1.0,0.6,4.3,1.3
12,"CD595, Staten Island",0,0,4,0,0,4,0,0,0.0,0.0,0,0




